company_name_canonical,source,period,n_postings,mean_desc_len,median_desc_len,entry_share,ai_share,ai_density_per_1k,scope_share,median_size
7-Eleven,kaggle_arshkon,2024-04,2,2994.0,2994.0,0.0,0.0,0.0,0.5,43040.0
7-Eleven,scraped,2026-03,1,5430.0,5430.0,0.0,0.0,0.0,0.0,
A Hiring Company,kaggle_arshkon,2024-04,2,3175.5,3175.5,1.0,0.0,0.0,0.0,4.0
A Hiring Company,scraped,2026-03,1,3893.0,3893.0,1.0,0.0,0.0,0.0,
A-Line Staffing Solutions,kaggle_arshkon,2024-04,3,2693.0,3053.0,0.0,0.0,0.0,0.0,213.0
A-Line Staffing Solutions,scraped,2026-03,1,2440.0,2440.0,0.0,0.0,0.0,0.0,
ADP,kaggle_arshkon,2024-04,2,7592.5,7592.5,0.0,0.0,0.0,0.0,68827.0
ADP,scraped,2026-03,2,7132.5,7132.5,0.0,0.5,0.5821286504317453,0.0,
AMD,kaggle_arshkon,2024-04,2,3335.5,3335.5,0.0,0.0,0.0,0.0,33372.0
AMD,scraped,2026-03,11,4731.545454545455,4421.0,0.0,0.0,0.0,0.0,
ASRC Federal,kaggle_arshkon,2024-04,1,4848.0,4848.0,0.0,0.0,0.0,0.0,4524.0
ASRC Federal,scraped,2026-03,1,3971.0,3971.0,1.0,0.0,0.0,0.0,
AT&T,kaggle_arshkon,2024-04,7,5051.0,5335.0,0.0,0.0,0.0,0.0,174692.0
AT&T,scraped,2026-03,1,6121.0,6121.0,0.0,0.0,0.0,0.0,
AVEVA,kaggle_arshkon,2024-04,5,5511.4,5504.0,0.6,0.0,0.0,0.0,7217.0
AVEVA,scraped,2026-03,1,7043.0,7043.0,0.0,0.0,0.0,0.0,
Abbott,kaggle_arshkon,2024-04,1,4062.0,4062.0,0.0,0.0,0.0,0.0,134435.0
Abbott,scraped,2026-03,5,5375.6,5983.0,0.8,0.0,0.0,0.0,
Accenture,kaggle_arshkon,2024-04,2,6117.5,6117.5,0.0,0.0,0.0,0.0,565191.0
Accenture,scraped,2026-03,5,8085.4,8222.0,0.2,0.2,0.08932559178204555,0.0,
Actalent,kaggle_arshkon,2024-04,22,3672.2272727272725,3610.5,0.8181818181818182,0.0,0.0,0.0,6139.0
Actalent,scraped,2026-03,39,4568.25641025641,4484.0,0.4358974358974359,0.0,0.0,0.0,
Aditi Consulting,kaggle_arshkon,2024-04,7,1588.5714285714287,1940.0,0.2857142857142857,0.0,0.0,0.0,948.0
Aditi Consulting,scraped,2026-03,6,5157.333333333333,5044.5,1.0,0.16666666666666666,0.11502185415228894,0.0,
Adobe,kaggle_arshkon,2024-04,9,4543.222222222223,4379.0,0.3333333333333333,0.0,0.0,0.0,36889.0
Adobe,scraped,2026-03,13,7535.538461538462,7536.0,0.0,0.15384615384615385,0.0495869196730971,0.0,
Adyen,kaggle_arshkon,2024-04,1,5183.0,5183.0,0.0,0.0,0.0,0.0,4549.0
Adyen,scraped,2026-03,1,4481.0,4481.0,0.0,0.0,0.0,0.0,
Affirm,kaggle_arshkon,2024-04,2,4419.5,4419.5,0.0,0.0,0.0,0.0,2346.0
Affirm,scraped,2026-03,21,5307.0,5307.0,0.0,0.0,0.0,0.0,
Agile Tech Labs,kaggle_arshkon,2024-04,1,839.0,839.0,1.0,0.0,0.0,0.0,38.0
Agile Tech Labs,scraped,2026-03,1,657.0,657.0,0.0,0.0,0.0,0.0,
Airbnb,kaggle_arshkon,2024-04,2,4684.5,4684.5,0.0,0.5,0.09899029895070283,0.0,34961.0
Airbnb,scraped,2026-03,1,4891.0,4891.0,0.0,0.0,0.0,0.0,
Akkodis,kaggle_arshkon,2024-04,25,2811.24,2570.0,0.08,0.0,0.0,0.04,23191.0
Akkodis,scraped,2026-03,9,4001.3333333333335,4286.0,0.0,0.1111111111111111,0.2518098835379289,0.0,
"Akraya, Inc.",kaggle_arshkon,2024-04,2,2072.0,2072.0,0.0,0.0,0.0,0.0,266.0
"Akraya, Inc.",scraped,2026-03,1,2725.0,2725.0,1.0,0.0,0.0,0.0,
Alaffia Health,kaggle_arshkon,2024-04,1,4158.0,4158.0,0.0,0.0,0.0,0.0,22.0
Alaffia Health,scraped,2026-03,2,4648.5,4648.5,0.0,0.0,0.0,0.0,
AllSTEM Connections,kaggle_arshkon,2024-04,5,4185.0,3623.0,0.0,0.0,0.0,0.0,105.0
AllSTEM Connections,scraped,2026-03,1,4227.0,4227.0,0.0,0.0,0.0,0.0,
Altera,kaggle_arshkon,2024-04,1,1024.0,1024.0,0.0,0.0,0.0,0.0,22.0
Altera,scraped,2026-03,1,3230.0,3230.0,0.0,0.0,0.0,0.0,
Amazon,kaggle_arshkon,2024-04,32,4016.375,3994.5,0.0,0.0,0.0,0.0,748312.0
Amazon,scraped,2026-03,32,5730.03125,5678.0,0.1875,0.125,0.041078649879765713,0.0,
Amazon Web Services (AWS),kaggle_arshkon,2024-04,12,6288.666666666667,6307.0,0.0,0.0,0.0,0.0,126669.0
Amazon Web Services (AWS),scraped,2026-03,42,7443.309523809524,7234.0,0.0,0.07142857142857142,0.019789895104990657,0.11904761904761904,
American Express,kaggle_arshkon,2024-04,5,6704.0,6569.0,0.4,0.0,0.0,0.0,76160.0
American Express,scraped,2026-03,1,9685.0,9685.0,0.0,0.0,0.0,0.0,
Ampcus Inc,kaggle_arshkon,2024-04,1,2183.0,2183.0,0.0,0.0,0.0,0.0,477.0
Ampcus Inc,scraped,2026-03,4,1330.75,1167.5,0.75,0.25,0.36231884057971014,0.0,
Ampstek,kaggle_arshkon,2024-04,5,947.8,736.0,0.0,0.0,0.0,0.0,299.0
Ampstek,scraped,2026-03,1,631.0,631.0,0.0,0.0,0.0,0.0,
Amtrak,kaggle_arshkon,2024-04,1,6554.0,6554.0,0.0,0.0,0.0,0.0,12926.0
Amtrak,scraped,2026-03,1,7305.0,7305.0,0.0,0.0,0.0,0.0,
Analytic Recruiting Inc.,kaggle_arshkon,2024-04,1,1907.0,1907.0,0.0,0.0,0.0,0.0,44.0
Analytic Recruiting Inc.,scraped,2026-03,1,2043.0,2043.0,0.0,1.0,2.304147465437788,0.0,
Anduril Industries,kaggle_arshkon,2024-04,5,8375.4,8661.0,0.6,0.0,0.0,0.0,2220.0
Anduril Industries,scraped,2026-03,30,8141.4,8213.0,0.03333333333333333,0.0,0.0,0.1,
Apex Systems,kaggle_arshkon,2024-04,52,4332.711538461538,4516.5,0.36538461538461536,0.0,0.0,0.0,13118.0
Apex Systems,scraped,2026-03,10,7700.0,7592.0,0.4,0.0,0.0,0.1,
Apexon,kaggle_arshkon,2024-04,4,1868.0,2054.0,0.0,0.0,0.0,0.0,3526.0
Apexon,scraped,2026-03,1,2884.0,2884.0,0.0,0.0,0.0,0.0,
Applicantz,kaggle_arshkon,2024-04,1,2262.0,2262.0,0.0,0.0,0.0,0.0,199.0
Applicantz,scraped,2026-03,1,1439.0,1439.0,0.0,0.0,0.0,0.0,
Aquent,kaggle_arshkon,2024-04,1,2297.0,2297.0,0.0,0.0,0.0,0.0,3475.0
Aquent,scraped,2026-03,2,3383.5,3383.5,0.0,0.0,0.0,0.0,
Ascendion,kaggle_arshkon,2024-04,8,3690.25,3703.5,0.0,0.0,0.0,0.0,2548.0
Ascendion,scraped,2026-03,1,5813.0,5813.0,1.0,0.0,0.0,0.0,
Aspen Technology,kaggle_arshkon,2024-04,1,3292.0,3292.0,0.0,0.0,0.0,0.0,4345.0
Aspen Technology,scraped,2026-03,1,4649.0,4649.0,0.0,0.0,0.0,0.0,
Audible,kaggle_arshkon,2024-04,1,5147.0,5147.0,0.0,0.0,0.0,0.0,3272.0
Audible,scraped,2026-03,1,4938.0,4938.0,0.0,1.0,0.4716981132075472,0.0,
Aurora,kaggle_arshkon,2024-04,1,6683.0,6683.0,0.0,0.0,0.0,0.0,2108.0
Aurora,scraped,2026-03,1,5163.0,5163.0,1.0,0.0,0.0,0.0,
Axiom Space,kaggle_arshkon,2024-04,1,5295.0,5295.0,1.0,0.0,0.0,0.0,872.0
Axiom Space,scraped,2026-03,5,5763.2,5313.0,0.2,0.0,0.0,0.0,
Axon,kaggle_arshkon,2024-04,2,7057.0,7057.0,0.0,0.0,0.0,0.0,3567.0
Axon,scraped,2026-03,2,8261.5,8261.5,0.0,0.0,0.0,0.0,
"BAE Systems, Inc.",kaggle_arshkon,2024-04,12,7645.25,7609.5,0.6666666666666666,0.0,0.0,0.0,15799.0
"BAE Systems, Inc.",scraped,2026-03,16,6230.875,5762.0,0.0625,0.0,0.0,0.0,
BCforward,kaggle_arshkon,2024-04,7,1688.0,1386.0,0.0,0.0,0.0,0.0,1402.0
BCforward,scraped,2026-03,1,3975.0,3975.0,1.0,0.0,0.0,0.0,
BEPC Inc. - Business Excellence Professional Consulting,kaggle_arshkon,2024-04,1,2120.0,2120.0,0.0,0.0,0.0,0.0,281.0
BEPC Inc. - Business Excellence Professional Consulting,scraped,2026-03,2,2359.5,2359.5,0.5,0.0,0.0,0.0,
BLUE ORIGIN,kaggle_arshkon,2024-04,7,7830.857142857143,7579.0,0.14285714285714285,0.0,0.0,0.0,9056.0
BLUE ORIGIN,scraped,2026-03,20,8747.7,8565.5,0.0,0.05,0.037064492216456635,0.0,
BURGEON IT SERVICES,kaggle_arshkon,2024-04,1,861.0,861.0,0.0,0.0,0.0,0.0,248.0
BURGEON IT SERVICES,scraped,2026-03,1,1180.0,1180.0,0.0,0.0,0.0,0.0,
Barclays,kaggle_arshkon,2024-04,1,3793.0,3793.0,0.0,0.0,0.0,0.0,72034.0
Barclays,scraped,2026-03,1,5864.0,5864.0,0.0,1.0,0.4100041000410004,0.0,
Baxter International Inc.,kaggle_arshkon,2024-04,1,6762.0,6762.0,0.0,0.0,0.0,0.0,39817.0
Baxter International Inc.,scraped,2026-03,1,7808.0,7808.0,0.0,0.0,0.0,0.0,
BayOne Solutions,kaggle_arshkon,2024-04,3,1425.3333333333333,1638.0,0.0,0.0,0.0,0.0,323.0
BayOne Solutions,scraped,2026-03,2,2359.5,2359.5,0.0,0.0,0.0,0.0,
Bayside Solutions,kaggle_arshkon,2024-04,1,1701.0,1701.0,0.0,0.0,0.0,0.0,198.0
Bayside Solutions,scraped,2026-03,2,2709.5,2709.5,0.0,0.0,0.0,0.0,
BigBear.ai,kaggle_arshkon,2024-04,1,4169.0,4169.0,0.0,0.0,0.0,0.0,465.0
BigBear.ai,scraped,2026-03,4,3447.75,3649.0,0.0,0.0,0.0,0.0,
BitGo,kaggle_arshkon,2024-04,1,5244.0,5244.0,0.0,0.0,0.0,0.0,310.0
BitGo,scraped,2026-03,3,5823.666666666667,5825.0,0.0,0.0,0.0,0.0,
Bloomberg,kaggle_arshkon,2024-04,1,4423.0,4423.0,0.0,0.0,0.0,0.0,23952.0
Bloomberg,scraped,2026-03,3,4851.0,4455.0,0.0,0.0,0.0,0.0,
Boeing,kaggle_arshkon,2024-04,8,7034.875,6965.0,0.125,0.125,0.083948959032908,0.0,114567.0
Boeing,scraped,2026-03,10,7515.2,7606.0,0.1,0.1,0.0392156862745098,0.0,
Booz Allen Hamilton,kaggle_arshkon,2024-04,9,6473.0,6456.0,0.0,0.0,0.0,0.0,39065.0
Booz Allen Hamilton,scraped,2026-03,50,5105.32,4990.0,0.0,0.0,0.0,0.0,
Box,kaggle_arshkon,2024-04,1,4983.0,4983.0,0.0,0.0,0.0,0.0,3371.0
Box,scraped,2026-03,7,7168.0,7194.0,0.0,0.14285714285714285,0.1187507421921387,0.0,
Brightpath Associates LLC,kaggle_arshkon,2024-04,3,2850.3333333333335,2966.0,0.0,0.0,0.0,0.0,75.0
Brightpath Associates LLC,scraped,2026-03,1,833.0,833.0,0.0,0.0,0.0,0.0,
Broadcom,kaggle_arshkon,2024-04,1,8204.0,8204.0,0.0,0.0,0.0,0.0,55209.0
Broadcom,scraped,2026-03,2,2900.0,2900.0,0.0,0.0,0.0,0.0,
Brooksource,kaggle_arshkon,2024-04,4,2758.75,2782.0,0.0,0.0,0.0,0.0,2135.0
Brooksource,scraped,2026-03,5,4037.2,3274.0,0.4,0.2,0.16556291390728478,0.0,
Bruker Daltonics,kaggle_arshkon,2024-04,1,5493.0,5493.0,0.0,0.0,0.0,0.0,902.0
Bruker Daltonics,scraped,2026-03,1,5659.0,5659.0,1.0,0.0,0.0,0.0,
ByteDance,kaggle_arshkon,2024-04,4,4429.25,4238.0,0.25,0.0,0.0,0.0,40692.0
ByteDance,scraped,2026-03,6,7362.833333333333,7158.5,1.0,0.3333333333333333,0.49796211353912007,0.0,
CACI International Inc,kaggle_arshkon,2024-04,11,4971.090909090909,4439.0,0.5454545454545454,0.0,0.0,0.0,19894.0
CACI International Inc,scraped,2026-03,4,5000.75,5214.0,0.0,0.0,0.0,0.0,
CBTS,kaggle_arshkon,2024-04,1,1720.0,1720.0,0.0,0.0,0.0,0.0,2113.0
CBTS,scraped,2026-03,2,1364.0,1364.0,0.0,0.0,0.0,0.0,
CBase Inc,kaggle_arshkon,2024-04,3,3367.3333333333335,2889.0,0.0,0.0,0.0,0.0,17.0
CBase Inc,scraped,2026-03,1,1310.0,1310.0,0.0,0.0,0.0,0.0,
CCC Intelligent Solutions,kaggle_arshkon,2024-04,1,3530.0,3530.0,0.0,0.0,0.0,0.0,2204.0
CCC Intelligent Solutions,scraped,2026-03,1,3895.0,3895.0,1.0,0.0,0.0,0.0,
CGI,kaggle_arshkon,2024-04,8,7367.375,7522.0,1.0,0.0,0.0,0.0,67195.0
CGI,scraped,2026-03,11,8065.454545454545,7940.0,0.7272727272727273,0.0,0.0,0.0,
CIBC US,kaggle_arshkon,2024-04,1,9158.0,9158.0,1.0,0.0,0.0,0.0,1573.0
CIBC US,scraped,2026-03,1,7603.0,7603.0,0.0,0.0,0.0,0.0,
CVS Health,kaggle_arshkon,2024-04,1,3101.0,3101.0,0.0,0.0,0.0,0.0,116525.0
CVS Health,scraped,2026-03,5,6177.4,6148.0,0.2,0.4,0.5240947417473116,0.2,
Cadence Design Systems,kaggle_arshkon,2024-04,2,2342.5,2342.5,0.5,0.0,0.0,0.0,9727.0
Cadence Design Systems,scraped,2026-03,1,5134.0,5134.0,1.0,0.0,0.0,0.0,
Calyptus,kaggle_arshkon,2024-04,4,1225.75,1311.0,0.0,0.0,0.0,0.0,18.0
Calyptus,scraped,2026-03,2,3864.0,3864.0,0.0,0.0,0.0,0.0,
Capgemini,kaggle_arshkon,2024-04,3,4306.666666666667,4415.0,0.0,0.0,0.0,0.0,296033.0
Capgemini,scraped,2026-03,22,6699.909090909091,7281.5,0.045454545454545456,0.0,0.0,0.0,
Capgemini Engineering,kaggle_arshkon,2024-04,1,5930.0,5930.0,0.0,0.0,0.0,0.0,49347.0
Capgemini Engineering,scraped,2026-03,1,8363.0,8363.0,0.0,0.0,0.0,0.0,
Capital One,kaggle_arshkon,2024-04,115,5815.713043478261,5787.0,0.09565217391304348,0.0,0.0,0.0,55249.0
Capital One,scraped,2026-03,47,6524.063829787234,6158.0,0.02127659574468085,0.2127659574468085,0.04377452302451581,0.0,
CarMax,kaggle_arshkon,2024-04,3,4692.333333333333,4706.0,0.0,0.0,0.0,0.0,15844.0
CarMax,scraped,2026-03,1,2897.0,2897.0,0.0,0.0,0.0,0.0,
Caterpillar Inc.,kaggle_arshkon,2024-04,3,4447.0,5126.0,0.0,0.0,0.0,0.0,51233.0
Caterpillar Inc.,scraped,2026-03,2,7955.0,7955.0,0.5,0.0,0.0,0.0,
Centene Corporation,kaggle_arshkon,2024-04,3,4395.666666666667,4379.0,0.0,0.0,0.0,0.3333333333333333,30740.0
Centene Corporation,scraped,2026-03,1,4800.0,4800.0,0.0,0.0,0.0,0.0,
Central Point Partners,kaggle_arshkon,2024-04,2,2945.5,2945.5,0.0,0.0,0.0,0.0,45.0
Central Point Partners,scraped,2026-03,1,4535.0,4535.0,0.0,0.0,0.0,0.0,
"Chart Industries, Inc.",kaggle_arshkon,2024-04,1,4825.0,4825.0,1.0,0.0,0.0,0.0,1970.0
"Chart Industries, Inc.",scraped,2026-03,1,7166.0,7166.0,0.0,0.0,0.0,0.0,
Chick-fil-A Corporate Support Center,kaggle_arshkon,2024-04,1,4504.0,4504.0,0.0,0.0,0.0,0.0,63379.0
Chick-fil-A Corporate Support Center,scraped,2026-03,1,6134.0,6134.0,0.0,0.0,0.0,0.0,
Chime,kaggle_arshkon,2024-04,1,4443.0,4443.0,0.0,0.0,0.0,0.0,1772.0
Chime,scraped,2026-03,4,7787.25,7765.0,0.0,0.0,0.0,0.0,
Cisco,kaggle_arshkon,2024-04,5,4954.8,4288.0,0.0,0.0,0.0,0.0,99409.0
Cisco,scraped,2026-03,10,7568.0,7375.0,0.7,0.0,0.0,0.0,
City Storage Systems,kaggle_arshkon,2024-04,1,3030.0,3030.0,1.0,0.0,0.0,0.0,90.0
City Storage Systems,scraped,2026-03,3,5106.333333333333,5250.0,0.0,0.0,0.0,0.0,
ClearanceJobs,kaggle_arshkon,2024-04,12,6084.166666666667,4271.0,0.4166666666666667,0.0,0.0,0.0,505.0
ClearanceJobs,scraped,2026-03,1,3122.0,3122.0,0.0,0.0,0.0,0.0,
Cloudflare,kaggle_arshkon,2024-04,7,8369.0,8093.0,0.0,0.0,0.0,0.0,4297.0
Cloudflare,scraped,2026-03,9,7898.888888888889,8191.0,0.0,0.1111111111111111,0.032215456976257204,0.0,
Cloudious LLC,kaggle_arshkon,2024-04,3,677.3333333333334,533.0,0.0,0.0,0.0,0.0,87.0
Cloudious LLC,scraped,2026-03,1,1380.0,1380.0,0.0,0.0,0.0,0.0,
CoBank,kaggle_arshkon,2024-04,1,8127.0,8127.0,0.0,0.0,0.0,0.0,1374.0
CoBank,scraped,2026-03,1,9041.0,9041.0,0.0,0.0,0.0,0.0,
Codebase Inc,kaggle_arshkon,2024-04,1,2460.0,2460.0,0.0,0.0,0.0,0.0,13.0
Codebase Inc,scraped,2026-03,1,3087.0,3087.0,0.0,1.0,6.289308176100629,0.0,
Cogent Communications,kaggle_arshkon,2024-04,6,4232.666666666667,4369.0,1.0,0.0,0.0,0.0,2388.0
Cogent Communications,scraped,2026-03,2,4334.0,4334.0,0.0,0.0,0.0,0.0,
Coinbase,kaggle_arshkon,2024-04,1,6580.0,6580.0,0.0,0.0,0.0,0.0,4556.0
Coinbase,scraped,2026-03,2,7617.5,7617.5,1.0,0.0,0.0,0.0,
Collins Aerospace,kaggle_arshkon,2024-04,3,8519.333333333334,7303.0,0.0,0.0,0.0,0.0,50706.0
Collins Aerospace,scraped,2026-03,2,9594.5,9594.5,0.0,0.0,0.0,0.0,
Comcast,kaggle_arshkon,2024-04,2,6090.5,6090.5,0.0,0.0,0.0,0.0,58143.0
Comcast,scraped,2026-03,1,9574.0,9574.0,0.0,0.0,0.0,0.0,
Compunnel Inc.,kaggle_arshkon,2024-04,23,1492.4347826086957,1471.0,0.0,0.0,0.0,0.0,2215.0
Compunnel Inc.,scraped,2026-03,3,1584.6666666666667,1910.0,0.0,0.0,0.0,0.0,
Confidential,kaggle_arshkon,2024-04,5,1939.8,1709.0,0.0,0.0,0.0,0.0,27287.0
Confidential,scraped,2026-03,1,1333.0,1333.0,0.0,0.0,0.0,0.0,
Confidential Jobs,kaggle_arshkon,2024-04,2,3422.0,3422.0,0.0,0.0,0.0,0.0,723.0
Confidential Jobs,scraped,2026-03,1,3477.0,3477.0,0.0,1.0,0.6839945280437756,0.0,
Congensys Corp,kaggle_arshkon,2024-04,1,373.0,373.0,0.0,0.0,0.0,0.0,23.0
Congensys Corp,scraped,2026-03,1,2280.0,2280.0,0.0,0.0,0.0,0.0,
Constellation,kaggle_arshkon,2024-04,1,5697.0,5697.0,1.0,0.0,0.0,0.0,8473.0
Constellation,scraped,2026-03,1,2989.0,2989.0,1.0,0.0,0.0,0.0,
ConsultNet Technology Services and Solutions,kaggle_arshkon,2024-04,2,1457.0,1457.0,0.0,0.0,0.0,0.0,220.0
ConsultNet Technology Services and Solutions,scraped,2026-03,3,3298.0,2867.0,0.3333333333333333,0.0,0.0,0.0,
Cox Automotive Inc.,kaggle_arshkon,2024-04,1,5571.0,5571.0,1.0,0.0,0.0,1.0,9776.0
Cox Automotive Inc.,scraped,2026-03,2,4786.5,4786.5,0.0,0.5,0.26567481402763016,0.0,
CrowdStrike,kaggle_arshkon,2024-04,4,4807.75,4898.5,0.0,0.0,0.0,0.0,8128.0
CrowdStrike,scraped,2026-03,3,6630.333333333333,5861.0,0.0,0.0,0.0,0.0,
