company_name_canonical,period_year,n,mean_sig
Boston Dynamics,2026,20,1.5068845699280962
Horizontal Talent,2026,45,1.3949490402189733
Haystack,2026,272,1.2988277847162992
GEICO,2026,70,1.1076942820347013
Trimble Inc.,2026,38,1.0930561399275114
xAI,2026,21,1.0218640822015546
Nuro,2026,21,1.011584283906048
Bright Vision Technologies,2026,30,1.0017646173522101
Persistent Systems,2026,26,0.9961883403483218
Parsons Corporation,2026,29,0.9766182676840546
Korn Ferry,2026,20,0.9693653838914413
PNC,2026,135,0.956718210996448
StubHub,2026,38,0.9537227878541846
Goldman Sachs,2026,49,0.9488887771444241
WEX,2026,21,0.8996669103386564
"Visionist, Inc.",2026,22,0.8823372490637019
Teradyne,2026,34,0.8599080609212839
The Depository Trust & Clearing Corporation (DTCC),2026,25,0.8565304564301848
Rippling,2026,51,0.841317327622064
BNY,2026,57,0.8320595423345547
Lam Research,2026,33,0.8098894910115012
SMX,2026,27,0.801884407253351
Palo Alto Networks,2026,52,0.7993817098682376
Intuit,2026,99,0.7858748482781758
GRVTY,2026,37,0.7737977777478815
HTC Global Services,2026,24,0.7609084062855893
Thomson Reuters,2026,36,0.7600005936355234
Zoox,2026,50,0.7515308298848673
Synechron,2026,68,0.7495663966547083
CrowdStrike,2026,31,0.746938874632877
YO IT Consulting,2026,29,0.7437164973157324
Optomi,2026,23,0.74208113074328
Dexian,2026,41,0.7347141933992737
Saronic Technologies,2026,25,0.7259686189391469
Netflix,2026,33,0.7249289389557075
SoFi,2026,55,0.7176067030345191
FieldAI,2026,28,0.702417996894345
Lockheed Martin,2026,191,0.7014958900397633
Broadcom,2026,34,0.691780183188064
DataAnnotation,2026,71,0.6827940194743912
GM Financial,2026,20,0.6727553868268463
Honeywell Aerospace Technologies,2026,30,0.6720204984068021
ICF,2026,25,0.6653404784450749
Databricks,2026,60,0.663700531580565
Verkada,2026,38,0.6578843268833093
"TalentBurst, an Inc 5000 company",2026,23,0.6520368501591726
CVS Health,2026,60,0.6488208520203285
Vantor,2026,28,0.6409899308529597
KPMG US,2026,23,0.6365376976507459
Crusoe,2026,26,0.6363909862009045
Anduril Industries,2026,271,0.631232392040012
General Motors,2026,191,0.6279936703392162
Experis,2026,72,0.6127767341176873
Electric Power Engineers,2026,21,0.6078198483650353
Adobe,2026,138,0.6070102488474466
Intel,2026,34,0.6031454469806259
CACI International Inc,2026,92,0.5974440530232731
Piper Companies,2026,110,0.5961841852559788
Stealth Startup,2026,44,0.5957615852693752
Kikoff,2026,22,0.593967042342018
PricewaterhouseCoopers,2026,24,0.5939189766699803
Walmart,2026,245,0.5932180008664221
Honeywell,2026,51,0.5852561268995641
Weights & Biases,2026,24,0.5773437862197422
ALTEN Technology USA,2026,21,0.5713971935600823
Amazon Web Services (AWS),2026,376,0.568306514593397
NVIDIA,2026,195,0.5655018170389619
Expedia Group,2026,63,0.5620208687077994
Bloomberg,2026,82,0.5614614048689242
NetApp,2026,48,0.5608577316539564
Randstad Digital Americas,2026,117,0.5600719889107082
Lorvenk Technologies LLC,2026,21,0.5527557663086136
LTM,2026,30,0.5502313464390713
BlackRock,2026,31,0.5426565606210861
Zoom,2026,30,0.5415876265943045
Veeva Systems,2026,29,0.5411573047119895
OpenAI,2026,131,0.5369714956715136
Marvell Technology,2026,23,0.5357652359314558
Akamai Technologies,2026,28,0.5299403523685338
Acceler8 Talent,2026,40,0.5285962733607784
Ernst & Young,2026,23,0.5284072564071243
Snowflake,2026,41,0.5221299189678373
SoTalent,2026,21,0.5202489181955356
Optum,2026,83,0.5191776996142834
Jobot,2026,97,0.5167354957940665
"The Swift Group, LLC",2026,32,0.5166285179927265
Enlighten,2026,21,0.5164478023044508
General Dynamics Mission Systems,2026,70,0.5160466004111297
Docusign,2026,35,0.5152321387843483
Microsoft,2026,418,0.5140265088062094
Deloitte,2026,62,0.5110304632839408
VIZIO,2026,25,0.5085141252411839
Visa,2026,73,0.5079804836402584
Cliff Services Inc,2026,23,0.503024740365689
Cargill,2026,21,0.5021866423623291
hackajob,2026,263,0.49686168660927776
Pure Storage,2026,25,0.48788192103809436
Medtronic,2026,24,0.48692026966446406
Hewlett Packard Enterprise,2026,21,0.4851800153597688
U.S. Bank,2026,37,0.4828601577294078
Microsoft AI,2026,85,0.48249280460368604
General Dynamics Information Technology,2026,80,0.48041300603276893
Red Hat,2026,46,0.47989772269267683
SAP,2026,21,0.47277528648945216
Morgan Stanley,2026,31,0.4696996266460613
Amazon,2026,376,0.46925591655076665
INSPYR Solutions,2026,23,0.4680868276965787
Northrop Grumman,2026,115,0.4677356438617673
CoreWeave,2026,51,0.46710482998482933
Air Apps,2026,21,0.46443901950137023
Cognizant,2026,61,0.4606236389413634
Insulet Corporation,2026,31,0.4585027346266117
Capital One,2026,247,0.45458547731073823
Axon,2026,45,0.45150072607134634
ConsultNet Technology Services and Solutions,2026,29,0.4481877335647849
Alignerr,2026,132,0.447733257577279
Smart IT Frame LLC,2026,44,0.44695230336136405
IBM,2026,90,0.44668473504931333
Akkodis Group Nordics,2026,147,0.4465737092521006
Westinghouse Electric Company,2026,21,0.4426633732596632
Supermicro,2026,24,0.44192245629044297
Kforce Inc,2026,165,0.44166265444336184
myGwork - LGBTQ+ Business Community,2026,128,0.44009247048421224
EVONA,2026,23,0.43979060878020343
"Mission Technologies, a division of HII",2026,35,0.4383859525343275
TalentAlly,2026,154,0.4351198230981414
S&P Global,2026,30,0.4349300550671606
Rivian,2026,36,0.43293078046588607
Harnham,2026,47,0.42774109682672884
Scale AI,2026,38,0.42773907316166004
Waymo,2026,45,0.4258682716811825
Motorola Solutions,2026,48,0.4251768637599668
Jobs via eFinancialCareers,2026,31,0.4246310767098434
DoorDash,2026,31,0.4236513571887686
BioSpace,2026,37,0.42363034176542297
Venmo,2026,29,0.42324141573016394
Virtusa,2026,40,0.4222729450314334
TikTok USDS Joint Venture,2026,126,0.42192376797464554
Applied Intuition,2026,44,0.41746813696199786
Tata Consultancy Services,2026,142,0.4162950379441261
Spotify,2026,27,0.4159409138700619
SpaceX,2026,159,0.41420203793203414
Tesla,2026,22,0.4114226774036814
Roku,2026,22,0.4083495170042814
True Anomaly,2026,26,0.4078835288095205
Citigroup,2026,84,0.4071656183058158
Agoda,2026,26,0.4022322540972312
Robert Half,2026,98,0.40012616881015456
Infosys,2026,50,0.39950894119401553
Ahold Delhaize USA,2026,38,0.39801254719985335
Box,2026,25,0.3979613613301317
ICE,2026,52,0.39505417215681893
Workday,2026,44,0.3934157722239418
Jobs via Dice,2026,1934,0.3927592268294227
Fanatics,2026,36,0.3913255009645886
Rocket Lab,2026,22,0.3888075474691886
Rivago Infotech Inc,2026,21,0.3880304994526724
Meta,2026,77,0.38725497806840636
PayPal,2026,210,0.38724185060782024
Zachary Piper Solutions,2026,50,0.3865781687844341
TikTok,2026,161,0.38545669018008605
Transamerica,2026,21,0.3820935888289296
CyberCoders,2026,136,0.3787349702836109
LinkedIn,2026,81,0.37630920311229776
JPMorgan Chase & Co.,2026,680,0.3746408725315097
Andiamo,2026,83,0.3737074414466546
athenahealth,2026,21,0.37209769810125487
"Super Micro Computer Spain, S.L.",2026,22,0.36162374590325835
UST,2026,21,0.3609607698263454
BCforward,2026,47,0.35918886058504307
Booz Allen Hamilton,2026,338,0.35844041622668316
Fidelity Investments,2026,54,0.3565416546003337
Oracle,2026,47,0.35277709995155526
Pinterest,2026,28,0.35185087273984833
Xometry,2026,27,0.35179881191429124
Rivian and Volkswagen Group Technologies,2026,25,0.35027587415580536
Centraprise,2026,28,0.34487374031471807
Collabera,2026,26,0.3445575450320432
HCL Global Systems Inc,2026,21,0.3414664063482041
SAIC,2026,32,0.3342655611391901
Boeing,2026,93,0.33425299650799384
Anblicks,2026,25,0.33103871175398064
Cadence,2026,36,0.32919555266876865
Google,2026,820,0.3267274045371395
ByteDance,2026,124,0.32670241395265154
Apex Systems,2026,201,0.32648498144245386
Unisys,2026,20,0.3261456456856246
Inside Higher Ed,2026,59,0.3250813814961712
Net2Source (N2S),2026,31,0.3237194981791689
Uber,2026,201,0.3230955206395314
The Walt Disney Company,2026,69,0.3224514261064154
Roblox,2026,80,0.3212209110538345
Pentangle Tech Services | P5 Group,2026,38,0.3194413745982925
Brooksource,2026,49,0.31933747242477073
Stripe,2026,25,0.31906045648840686
Lorven Technologies Inc.,2026,51,0.3171584672853287
Klaviyo,2026,40,0.3145073527983349
NTT DATA North America,2026,90,0.3088335740337233
Motion Recruitment,2026,238,0.3078536620482118
BLUE ORIGIN,2026,91,0.30644981648274383
Ford Motor Company,2026,52,0.30445840532696444
Aurora,2026,23,0.30384600392290745
CBRE,2026,58,0.30264532821031653
"IDR, Inc.",2026,30,0.30169365468786213
WayUp,2026,21,0.30073566864733864
Jack & Jill,2026,69,0.30040473377656185
Intuitive,2026,20,0.2941785596454642
Mercor,2026,80,0.2937776847256775
SGS Consulting,2026,22,0.2909437714354417
Insight Global,2026,141,0.2869004099513304
KLA,2026,22,0.2821308314136452
AT&T,2026,25,0.2813107425692934
T-Mobile,2026,23,0.28058541301144935
Charles Schwab,2026,54,0.276757474130819
Truist,2026,28,0.2751848491990036
Stefanini North America and APAC,2026,24,0.2751206074889352
Silvus Technologies,2026,26,0.2740583080961896
CGI,2026,88,0.2727586084395969
Procore Technologies,2026,22,0.27261885644708705
Cynet Systems,2026,42,0.2722647720328273
Strategic Staffing Solutions,2026,54,0.2719985086127731
Guidehouse,2026,20,0.2654642279702667
Riot Games,2026,28,0.26532401384062126
Ramp,2026,26,0.26410348558718344
CesiumAstro,2026,23,0.2632912552452278
Erias Ventures,2026,46,0.26094381470859607
Esri,2026,67,0.2599565085024372
Goliath Partners,2026,37,0.2595320782587065
WHOOP,2026,39,0.2593518870100357
NLB Services,2026,29,0.25850349425248925
Accenture,2026,59,0.2583836981421906
Collins Aerospace,2026,55,0.2572978379004395
Signify Technology,2026,21,0.25452346797671904
Wells Fargo,2026,327,0.2519098410505811
ClifyX,2026,23,0.24849662574456804
Mindlance,2026,28,0.2484386520289757
ManTech,2026,44,0.24613500040445296
Crossing Hurdles,2026,25,0.24572662601111425
Peraton,2026,197,0.2443804412786833
Cisco,2026,85,0.24353000788955492
MongoDB,2026,23,0.24280834745401048
Visionary Innovative Technology Solutions LLC,2026,39,0.2422375098563082
Dell Technologies,2026,27,0.2420128914388144
"Holistic Partners, Inc",2026,33,0.23716153600591955
AMD,2026,88,0.23715335571644622
Affirm,2026,22,0.23646813610655884
Whatnot,2026,32,0.23558732324934825
EPITEC,2026,37,0.23190805046805563
Stefanini Group,2026,23,0.2288599254549426
Capgemini,2026,143,0.22878029432789085
"Software Guidance & Assistance, Inc. (SGA, Inc.)",2026,22,0.22491481666166377
Turing,2026,42,0.2210809324537139
Lensa,2026,60,0.2205194384021002
Mastech Digital,2026,31,0.21652506984188408
Early Warning®,2026,34,0.2153780304684062
Akkodis,2026,76,0.2134884242281035
"BAE Systems, Inc.",2026,140,0.2130599098196628
Eliassen Group,2026,39,0.21205894581842935
Gusto,2026,22,0.2118572345503852
Pittsburgh Robotics Network,2026,27,0.21146123010934967
Wipro,2026,22,0.20978842021323854
Chewy,2026,32,0.20746128112051834
Qualcomm,2026,174,0.20514369863820983
Anthropic,2026,78,0.19990148021107176
Envision Technology Solutions,2026,26,0.19731538655141223
Actalent,2026,276,0.19476028309502072
VDart,2026,25,0.1914591428985853
ECS,2026,28,0.18747506235958675
Leidos,2026,258,0.18746342293460042
Talent Groups,2026,31,0.18691890576786982
Sony Interactive Entertainment,2026,31,0.18489596582347675
Innoventrics,2026,28,0.18474309768110572
Noblis,2026,21,0.18207267081885678
Robinhood,2026,24,0.18162630432951174
TEKsystems,2026,120,0.17805998349021518
CHAOS Industries,2026,21,0.17747362188417698
Raas Infotek,2026,33,0.17635829779988435
Synchrony,2026,33,0.1735642984021026
STR,2026,23,0.17106351048718213
Cloudflare,2026,38,0.16898507786294797
General Atomics Aeronautical Systems,2026,33,0.1672953005374358
Torc Robotics,2026,33,0.1635223716303765
SS&C Technologies,2026,20,0.16065484144917758
US Tech Solutions,2026,28,0.15920698267400324
Ledgent Technology,2026,37,0.1567131104994035
Abbott,2026,33,0.15602865296414192
PTR Global,2026,83,0.15518867719839974
Raytheon,2026,126,0.1543039321696073
New York Technology Partners,2026,74,0.15231448179678952
"Shield Consulting Solutions, Inc.",2026,20,0.15106151826458536
Equifax,2026,30,0.14784037813498688
ASCII Group LLC,2026,28,0.14012914723445338
Aditi Consulting,2026,36,0.13913042171316609
CyberArk,2026,28,0.13817071597685757
Intellectt Inc,2026,24,0.13760909549020148
MetroStar,2026,45,0.1353131434384303
FastTek Global,2026,28,0.12908236427697223
"Akina, Inc",2026,70,0.12796542037253766
Ampcus Inc,2026,21,0.1249956061910843
L3Harris Technologies,2026,60,0.12087657722307533
Compunnel Inc.,2026,43,0.11833224267708553
Programmers.io,2026,23,0.11212128803243789
Ampstek,2026,40,0.09978561409315204
System One,2026,45,0.09714758472850246
Draper,2026,22,0.09359939192284185
JPS Tech Solutions,2026,27,0.09295767158660485
a Global Financial Institution,2026,35,0.0866334952805781
"Yoh, A Day & Zimmermann Company",2026,37,0.06220863721618669
Garmin,2026,32,0.06042260361802986
Captivation,2026,23,0.05892347120642559
"Pyramid Consulting, Inc",2026,25,0.05044870452698759
Reflexive Concepts,2026,32,0.04407763355707718
Base-2 Solutions,2026,30,0.043158088443790196
B4Corp,2026,36,0.03841194279911199
Matlen Silver,2026,29,0.036968402376838315
General Atomics,2026,20,0.029786856521835558
Signature IT World Inc,2026,33,0.024017977231291024
"Syms Strategic Group, LLC (SSG)",2026,32,0.0
AaraTechnologies Inc,2026,21,0.0
